frame,thread,name,gpuMs
84,0,Crossover/Range,0
84,0,Crossover/Cull,0
84,0,Crossover/Draw,0
84,1,Crossover/Range,0
84,1,Crossover/Cull,0
84,1,Crossover/Draw,0
85,0,Crossover/Range,0
85,0,Crossover/Cull,0
85,0,Crossover/Draw,0
85,1,Crossover/Range,0
85,1,Crossover/Cull,0
85,1,Crossover/Draw,0
86,0,Crossover/Range,0
86,0,Crossover/Cull,0
86,0,Crossover/Draw,0
86,1,Crossover/Range,0
86,1,Crossover/Cull,0
86,1,Crossover/Draw,0
87,0,Crossover/Range,0
87,0,Crossover/Cull,0
87,0,Crossover/Draw,0
87,1,Crossover/Range,0
87,1,Crossover/Cull,0
87,1,Crossover/Draw,0
88,0,Crossover/Range,0
88,0,Crossover/Cull,0
88,0,Crossover/Draw,0
88,1,Crossover/Range,0
88,1,Crossover/Cull,0
88,1,Crossover/Draw,0
89,0,Crossover/Range,0
89,0,Crossover/Cull,0
89,0,Crossover/Draw,0
89,1,Crossover/Range,0
89,1,Crossover/Cull,0
89,1,Crossover/Draw,0
90,0,Crossover/Range,0
90,0,Crossover/Cull,0
90,0,Crossover/Draw,0
90,1,Crossover/Range,0
90,1,Crossover/Cull,0
90,1,Crossover/Draw,0
91,0,Crossover/Range,0
91,0,Crossover/Cull,0
91,0,Crossover/Draw,0
91,1,Crossover/Range,0
91,1,Crossover/Cull,0
91,1,Crossover/Draw,0
92,0,Crossover/Range,0
92,0,Crossover/Cull,0
92,0,Crossover/Draw,0
92,1,Crossover/Range,0
92,1,Crossover/Cull,0
92,1,Crossover/Draw,0
93,0,Crossover/Range,0
93,0,Crossover/Cull,0
93,0,Crossover/Draw,0
93,1,Crossover/Range,0
93,1,Crossover/Cull,0
93,1,Crossover/Draw,0
94,0,Crossover/Range,0
94,0,Crossover/Cull,0
94,0,Crossover/Draw,0
94,1,Crossover/Range,0
94,1,Crossover/Cull,0
94,1,Crossover/Draw,0
95,0,Crossover/Range,0
95,0,Crossover/Cull,0
95,0,Crossover/Draw,0
95,1,Crossover/Range,0
95,1,Crossover/Cull,0
95,1,Crossover/Draw,0
96,0,Crossover/Range,0
96,0,Crossover/Cull,0
96,0,Crossover/Draw,0
96,1,Crossover/Range,0
96,1,Crossover/Cull,0
96,1,Crossover/Draw,0
