"element_count","scan_repeats","candidates","correct","stable","baseline_stable","selected_stable","baseline_median_ms","baseline_p95_ms","baseline_cv","selected_median_ms","selected_p95_ms","selected_cv","speedup","retained_baseline","backend","group_size","elements_per_thread","actual_items_per_thread","single_pass_groups","single_pass_items_scale","baseline_candidate","selected_candidate","output_sha256"
"16777216","4","36","36","36","True","True","1.91842","1.930177","0.004236975692126767","1.037095","1.04565275","0.005082336855047092","1.8498016093029084","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
"16777216","8","36","36","36","True","True","3.7291","3.7537860000000003","0.0038155267172922565","1.95817","1.962537","0.0014999351872433937","1.9043801100006639","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
"16777216","12","36","36","36","True","True","5.546","5.581616","0.004341901327230114","2.89878","2.907024","0.003936378679983896","1.9132186644036457","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
"16777216","16","36","36","36","True","True","7.36538","7.414766","0.0033074533159976223","3.81177","3.818679","0.0009935796148853825","1.9322729335715427","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
"16777216","17","36","36","36","True","True","7.84082","7.892875999999999","0.005086754889783422","4.04363","4.048348","0.001351463724210179","1.9390547602030848","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
"16777216","18","36","36","36","True","True","8.26458","8.394250000000001","0.008101177983476749","4.2759","4.283708","0.00134758970188445","1.9328281765242405","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
"16777216","19","36","36","36","True","True","8.72236","8.779984","0.004232015605677892","4.50831","4.5250189999999995","0.001676748110505351","1.9347294218897992","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
"16777216","20","36","36","36","True","True","9.1651","9.20748","0.002471120631428311","4.73954","4.745958","0.001155561785759371","1.9337530646434045","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
"16777216","21","36","36","36","True","True","9.6262","9.68852","0.0031325483823461437","4.97063","4.980855999999999","0.001306487885156744","1.9366156805073","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
"16777216","22","36","36","36","True","True","10.0444","10.125048","0.00444019463962997","5.2045","5.23721","0.004605906677959936","1.9299452396964163","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
"16777216","23","36","36","36","True","True","10.56224","10.620111999999999","0.0038107144432123286","5.42718","5.449984","0.0034567695838684993","1.946174624759083","False","single-pass","512","2","8","256","4","HLSLPERF_ELEMENTS_PER_THREAD-4__HLSLPERF_GROUP_SIZE-256__HLSLPERF_SCAN_BACKEND-1__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","HLSLPERF_ELEMENTS_PER_THREAD-2__HLSLPERF_GROUP_SIZE-512__HLSLPERF_SCAN_BACKEND-3__HLSLPERF_SINGLE_PASS_GROUPS-256__HLSLPERF_SINGLE_PASS_ITEMS_SCALE-4","7eac17428d6d0bd0f050ddf39de069e32cf2ed51479ecb06b4d340dc79766409"
